company_id,pros,cons
GAIL,Very high interest coverage ratio reflects negligible financial stress from debt servicing,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
GODREJCP,"Company remains in the covered universe, but financial history is limited for stronger positive rule matching",Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
GRASIM,"Company remains in the covered universe, but financial history is limited for stronger positive rule matching",Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk | Earnings per share declining for 3 consecutive years reflects deteriorating profitability
HAL,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
HAVELLS,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Very high interest coverage ratio reflects negligible financial stress from debt servicing,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
HCLTECH,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Strong free cash flow generation over 5 years signals healthy business fundamentals | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Return on equity improving for 3 consecutive years shows strengthening business quality,Operating margins declining for 3 consecutive years suggest pricing or cost pressure
HDFCBANK,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
HDFCLIFE,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Return on equity improving for 3 consecutive years shows strengthening business quality,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
HEROMOTOCO,Strong free cash flow generation over 5 years signals healthy business fundamentals | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Return on equity improving for 3 consecutive years shows strengthening business quality,Operating margins declining for 3 consecutive years suggest pricing or cost pressure
HINDALCO,Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
HINDUNILVR,Strong free cash flow generation over 5 years signals healthy business fundamentals | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Revenue growing slower than profits shows improving operating leverage and scale benefits,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
ICICIBANK,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Return on equity improving for 3 consecutive years shows strengthening business quality | Revenue growing slower than profits shows improving operating leverage and scale benefits,Operating margins declining for 3 consecutive years suggest pricing or cost pressure | Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
ICICIGI,Strong free cash flow generation over 5 years signals healthy business fundamentals | Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Revenue growing slower than profits shows improving operating leverage and scale benefits,Operating margins declining for 3 consecutive years suggest pricing or cost pressure
ICICIPRULI,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
INDIGO,Strong free cash flow generation over 5 years signals healthy business fundamentals | Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Return on equity improving for 3 consecutive years shows strengthening business quality,Operating margins declining for 3 consecutive years suggest pricing or cost pressure
INDUSINDBK,Operating profit margin above 25% indicates strong pricing power and cost discipline | Return on equity improving for 3 consecutive years shows strengthening business quality | Revenue growing slower than profits shows improving operating leverage and scale benefits,Operating margins declining for 3 consecutive years suggest pricing or cost pressure | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
INFY,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Strong free cash flow generation over 5 years signals healthy business fundamentals | Very high interest coverage ratio reflects negligible financial stress from debt servicing,Operating margins declining for 3 consecutive years suggest pricing or cost pressure
IOC,Very high interest coverage ratio reflects negligible financial stress from debt servicing,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
IRCTC,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,Operating margins declining for 3 consecutive years suggest pricing or cost pressure
IRFC,Operating profit margin above 25% indicates strong pricing power and cost discipline | Revenue growing slower than profits shows improving operating leverage and scale benefits,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
ITC,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Strong free cash flow generation over 5 years signals healthy business fundamentals | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
JINDALSTEL,"Company remains in the covered universe, but financial history is limited for stronger positive rule matching","Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
JIOFIN,Debt-free balance sheet provides financial flexibility and eliminates interest burden | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
JSWENERGY,Operating profit margin above 25% indicates strong pricing power and cost discipline | Revenue growing slower than profits shows improving operating leverage and scale benefits,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
JSWSTEEL,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
KOTAKBANK,Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Return on equity improving for 3 consecutive years shows strengthening business quality | Revenue growing slower than profits shows improving operating leverage and scale benefits,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
LICI,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Strong free cash flow generation over 5 years signals healthy business fundamentals | Debt-free balance sheet provides financial flexibility and eliminates interest burden | Net profit compounding at above 20% over 5 years creates significant shareholder value | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Revenue growing slower than profits shows improving operating leverage and scale benefits,"No high-confidence con rule triggered, but periodic monitoring remains warranted as financial conditions can change"
LODHA,Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum
LT,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Return on equity improving for 3 consecutive years shows strengthening business quality,Operating margins declining for 3 consecutive years suggest pricing or cost pressure | Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
LTIM,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Strong free cash flow generation over 5 years signals healthy business fundamentals | Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Net profit compounding at above 20% over 5 years creates significant shareholder value | Very high interest coverage ratio reflects negligible financial stress from debt servicing,Operating margins declining for 3 consecutive years suggest pricing or cost pressure | Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
M&M,"Company remains in the covered universe, but financial history is limited for stronger positive rule matching","No high-confidence con rule triggered, but periodic monitoring remains warranted as financial conditions can change"
MARUTI,Strong free cash flow generation over 5 years signals healthy business fundamentals | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Return on equity improving for 3 consecutive years shows strengthening business quality | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
MM,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
MOTHERSON,Strong free cash flow generation over 5 years signals healthy business fundamentals | Net profit compounding at above 20% over 5 years creates significant shareholder value | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Return on equity improving for 3 consecutive years shows strengthening business quality | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
NAUKRI,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
NESTLEIND,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Strong free cash flow generation over 5 years signals healthy business fundamentals | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
NHPC,Strong free cash flow generation over 5 years signals healthy business fundamentals | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital | Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum
NTPC,Operating profit margin above 25% indicates strong pricing power and cost discipline | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
ONGC,Strong free cash flow generation over 5 years signals healthy business fundamentals | Net profit compounding at above 20% over 5 years creates significant shareholder value | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
PFC,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
PIDILITIND,Very high interest coverage ratio reflects negligible financial stress from debt servicing,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
PNB,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Net profit compounding at above 20% over 5 years creates significant shareholder value | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations
POWERGRID,Strong free cash flow generation over 5 years signals healthy business fundamentals | Operating profit margin above 25% indicates strong pricing power and cost discipline | Revenue growing slower than profits shows improving operating leverage and scale benefits,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum
RECLTD,Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,Free cash flow negative for 3 consecutive years raises concern about cash generation quality | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
RELIANCE,Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
SBILIFE,Debt-free balance sheet provides financial flexibility and eliminates interest burden | Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Very high interest coverage ratio reflects negligible financial stress from debt servicing,"No high-confidence con rule triggered, but periodic monitoring remains warranted as financial conditions can change"
SBIN,Debt-free balance sheet provides financial flexibility and eliminates interest burden | Net profit compounding at above 20% over 5 years creates significant shareholder value | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations
SHREECEM,Very high interest coverage ratio reflects negligible financial stress from debt servicing,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
SHRIRAMFIN,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Return on equity improving for 3 consecutive years shows strengthening business quality | Revenue growing slower than profits shows improving operating leverage and scale benefits,Free cash flow negative for 3 consecutive years raises concern about cash generation quality | Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
SIEMENS,Very high interest coverage ratio reflects negligible financial stress from debt servicing | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Return on equity improving for 3 consecutive years shows strengthening business quality | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
SUNPHARMA,Operating profit margin above 25% indicates strong pricing power and cost discipline | Net profit compounding at above 20% over 5 years creates significant shareholder value | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
TATACONSUM,Strong free cash flow generation over 5 years signals healthy business fundamentals | Net profit compounding at above 20% over 5 years creates significant shareholder value | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
TATAMOTORS,Return on equity improving for 3 consecutive years shows strengthening business quality,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
TATAPOWER,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Net profit compounding at above 20% over 5 years creates significant shareholder value | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
TATASTEEL,Strong free cash flow generation over 5 years signals healthy business fundamentals | Revenue growing slower than profits shows improving operating leverage and scale benefits,Operating margins declining for 3 consecutive years suggest pricing or cost pressure | Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk | Earnings per share declining for 3 consecutive years reflects deteriorating profitability | Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital
TCS,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Strong free cash flow generation over 5 years signals healthy business fundamentals | Operating profit margin above 25% indicates strong pricing power and cost discipline | Very high interest coverage ratio reflects negligible financial stress from debt servicing | Return on equity improving for 3 consecutive years shows strengthening business quality,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
TECHM,Strong free cash flow generation over 5 years signals healthy business fundamentals | Very high interest coverage ratio reflects negligible financial stress from debt servicing,"Operating margins declining for 3 consecutive years suggest pricing or cost pressure | Dividend payout ratio above 100% means the company is paying dividends from reserves, which is unsustainable | Earnings per share declining for 3 consecutive years reflects deteriorating profitability"
TITAN,Consistently high return on equity above 20% demonstrates exceptional capital efficiency | Revenue growing at above 15% CAGR over 5 years reflects strong business momentum | Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding | Return on equity improving for 3 consecutive years shows strengthening business quality,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk
TORNTPHARM,Strong free cash flow generation over 5 years signals healthy business fundamentals | Operating profit margin above 25% indicates strong pricing power and cost discipline | Return on equity improving for 3 consecutive years shows strengthening business quality | Revenue growing slower than profits shows improving operating leverage and scale benefits,"Company carries balance sheet debt, so leverage should be monitored even though no major debt threshold was breached"
