company_id,sector,previous_year,latest_year,previous_pattern,latest_pattern,change_text
SHRIRAMFIN,Financials,Mar 2023,Mar 2024,Distress Signal,Growth Funded by Debt,SHRIRAMFIN moved from Distress Signal to Growth Funded by Debt
SUNPHARMA,Healthcare,Mar 2023,Mar 2024,Mixed,Shareholder Returns,SUNPHARMA moved from Mixed to Shareholder Returns
TATACONSUM,Consumer Staples,Mar 2023,Mar 2024,Shareholder Returns,Mixed,TATACONSUM moved from Shareholder Returns to Mixed
TATAPOWER,Energy,Mar 2023,Mar 2024,Mixed,Shareholder Returns,TATAPOWER moved from Mixed to Shareholder Returns
TATASTEEL,Materials,Mar 2023,Mar 2024,Shareholder Returns,Reinvestor,TATASTEEL moved from Shareholder Returns to Reinvestor
TITAN,Consumer Discretionary,Mar 2023,Mar 2024,Mixed,Reinvestor,TITAN moved from Mixed to Reinvestor
TORNTPHARM,Healthcare,Mar 2023,Mar 2024,Mixed,Shareholder Returns,TORNTPHARM moved from Mixed to Shareholder Returns
TRENT,Consumer Discretionary,Mar 2023,Mar 2024,Shareholder Returns,Reinvestor,TRENT moved from Shareholder Returns to Reinvestor
UNIONBANK,,Mar 2023,Mar 2024,Reinvestor,Shareholder Returns,UNIONBANK moved from Reinvestor to Shareholder Returns
UNITDSPR,,Mar 2023,Mar 2024,Reinvestor,Liquidating Assets,UNITDSPR moved from Reinvestor to Liquidating Assets
VBL,,Dec 2022,Dec 2023,Shareholder Returns,Mixed,VBL moved from Shareholder Returns to Mixed
WIPRO,,Mar 2023,Mar 2024,Shareholder Returns,Liquidating Assets,WIPRO moved from Shareholder Returns to Liquidating Assets
ZOMATO,,Mar 2023,Mar 2024,Mixed,Shareholder Returns,ZOMATO moved from Mixed to Shareholder Returns
ZYDUSLIFE,,Mar 2023,Mar 2024,Liquidating Assets,Reinvestor,ZYDUSLIFE moved from Liquidating Assets to Reinvestor
